,background,color,eyes,head_gear
0,background-6,color-2,emotion-4,headgear-2
1,background-4,color-6,emotion-2,headgear-3
2,background-1,color-6,emotion-1,headgear-2
3,background-3,color-6,emotion-3,headgear-4
4,background-5,color-1,emotion-6,headgear-4
5,background-4,color-7,emotion-4,headgear-4
6,background-7,color-1,emotion-2,headgear-1
7,background-8,color-8,emotion-1,headgear-3
8,background-8,color-3,emotion-2,headgear-4
9,background-4,color-8,emotion-5,headgear-4
10,background-8,color-5,emotion-6,headgear-2
11,background-7,color-5,emotion-5,headgear-4
12,background-4,color-3,emotion-4,headgear-4
13,background-7,color-6,emotion-1,headgear-4
14,background-5,color-8,emotion-1,headgear-3
15,background-4,color-5,emotion-4,headgear-4
16,background-4,color-8,emotion-1,headgear-4
17,background-8,color-8,emotion-2,headgear-4
18,background-8,color-2,emotion-1,headgear-4
19,background-4,color-4,emotion-6,headgear-1
20,background-5,color-4,emotion-4,headgear-1
21,background-2,color-3,emotion-4,headgear-4
22,background-6,color-1,emotion-4,headgear-1
23,background-7,color-6,emotion-3,headgear-3
24,background-8,color-4,emotion-4,headgear-2
25,background-4,color-5,emotion-1,headgear-4
26,background-3,color-5,emotion-4,headgear-4
27,background-8,color-7,emotion-1,headgear-4
28,background-5,color-8,emotion-1,headgear-4
29,background-2,color-6,emotion-1,headgear-3
30,background-5,color-4,emotion-1,headgear-3
31,background-5,color-8,emotion-3,headgear-4
32,background-1,color-8,emotion-1,headgear-4
33,background-4,color-4,emotion-4,headgear-4
34,background-6,color-6,emotion-3,headgear-4
35,background-1,color-7,emotion-2,headgear-4
36,background-4,color-4,emotion-4,headgear-2
37,background-7,color-3,emotion-4,headgear-4
38,background-4,color-3,emotion-1,headgear-3
39,background-3,color-1,emotion-1,headgear-1
40,background-7,color-8,emotion-1,headgear-4
41,background-3,color-4,emotion-1,headgear-3
42,background-4,color-3,emotion-2,headgear-4
43,background-3,color-3,emotion-5,headgear-4
44,background-6,color-8,emotion-3,headgear-4
45,background-5,color-8,emotion-1,headgear-1
46,background-3,color-1,emotion-4,headgear-4
47,background-1,color-1,emotion-4,headgear-2
48,background-5,color-8,emotion-5,headgear-4
49,background-2,color-4,emotion-3,headgear-4
50,background-2,color-4,emotion-4,headgear-4
51,background-7,color-3,emotion-1,headgear-4
52,background-4,color-7,emotion-1,headgear-4
53,background-8,color-4,emotion-5,headgear-1
54,background-3,color-5,emotion-6,headgear-4
55,background-4,color-2,emotion-6,headgear-4
56,background-4,color-6,emotion-6,headgear-1
57,background-1,color-3,emotion-6,headgear-1
58,background-7,color-6,emotion-4,headgear-3
59,background-4,color-7,emotion-3,headgear-3
60,background-2,color-2,emotion-3,headgear-1
61,background-8,color-6,emotion-5,headgear-3
62,background-6,color-4,emotion-6,headgear-2
63,background-7,color-6,emotion-1,headgear-3
64,background-8,color-4,emotion-3,headgear-1
65,background-4,color-6,emotion-1,headgear-2
66,background-8,color-3,emotion-6,headgear-4
67,background-7,color-5,emotion-6,headgear-3
68,background-4,color-7,emotion-2,headgear-4
69,background-8,color-2,emotion-5,headgear-2
70,background-7,color-7,emotion-3,headgear-1
71,background-1,color-3,emotion-3,headgear-1
72,background-8,color-6,emotion-6,headgear-1
73,background-4,color-4,emotion-5,headgear-3
74,background-4,color-5,emotion-3,headgear-2
75,background-8,color-8,emotion-5,headgear-4
76,background-1,color-2,emotion-6,headgear-3
77,background-8,color-5,emotion-2,headgear-3
78,background-6,color-8,emotion-4,headgear-4
79,background-4,color-7,emotion-3,headgear-4
80,background-2,color-4,emotion-4,headgear-1
81,background-5,color-4,emotion-4,headgear-2
82,background-2,color-8,emotion-5,headgear-2
83,background-1,color-6,emotion-6,headgear-3
84,background-1,color-7,emotion-3,headgear-1
85,background-6,color-2,emotion-3,headgear-2
86,background-8,color-7,emotion-5,headgear-4
87,background-8,color-4,emotion-3,headgear-4
88,background-1,color-4,emotion-3,headgear-3
89,background-6,color-5,emotion-6,headgear-1
90,background-8,color-4,emotion-1,headgear-1
91,background-8,color-6,emotion-1,headgear-2
92,background-7,color-4,emotion-3,headgear-3
93,background-3,color-4,emotion-1,headgear-4
94,background-8,color-3,emotion-2,headgear-3
95,background-8,color-8,emotion-6,headgear-1
96,background-7,color-5,emotion-4,headgear-3
97,background-4,color-4,emotion-2,headgear-4
98,background-6,color-3,emotion-6,headgear-2
99,background-4,color-8,emotion-2,headgear-1
